normalized_claim_id,claim_text,query_type,query_text,result_rank,title,url,snippet,source,source_quality_score,source_quality_label
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,1,DINT 83 - It's Finally Here!Microsoft's2023DiversityReportShares....,https://dint.beehiiv.com/p/microsoft-diversity-2023-disappoints-black-employees,"Yesterday,Microsoftreleased itsGlobalDiversity&InclusionReport2023.Here’s what we asked: We noticed the raw numbers (full data set) for median unadjusted pay weren'tincludedin this year'sreport, as they were in theMicrosoftGlobalDiversity&InclusionReport2022.",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,2,"White Employees Get Shortchanged,Microsoft... | Guardian Gazette",https://www.guardiangazette.com/white-employees-get-shortchanged-microsoft-calls-it-progress/,Microsoft’s2023DiversityandInclusionReporthas openly acknowledged that the company pays white employees less than their non-white counterparts with identical qualifications and experience.,,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,3,Microsoftis turning to AI to make its workplace moreinclusive,https://www.bbc.com/worklife/article/20240905-microsoft-ai-interview-bbc-executive-lounge,"Microsoft's chiefdiversityofficer saysdiversityand investment in the workforce can help fix AI's bias problems. At the beginning of2023,Microsoftfound itself in a PR firestorm.",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,4,MicrosoftGlobalDiversity&InclusionReport,https://www.emilykohlerdesign.com/msftdi,"To meetMicrosoft’s accessibility standards, I implemented accessible design practices in Adobe InDesign, building logical reading structures, tagging elements, and adjusting color and contrast to support aninclusivereading experience.MicrosoftDiversity&InclusionReport.",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,5,Joining forces to break the glass ceiling - Technology Record,https://www.technologyrecord.com/article/joining-forces-to-break-the-glass-ceiling,TheMicrosoftGlobalDiversity&InclusionReport2023shows that the number of women working atMicrosofthas grown by 3.6 per cent since 2019 to 33.1 per cent. How has the overall technology business landscape changed for women in the last five years?,,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",verification,Microsoft Global Diversity & Inclusion Report 2023 verification,6,How to Master the Transformation Mindset: Unlocking Organizational...,https://miguelezadvisory.com/how-to-master-the-transformation-mindset-unlocking-organizational-growth-through-diversity/,"(Sources:MicrosoftGlobalDiversity&InclusionReport2023andMicrosoftDiversity&InclusionReport2019).Throughout her career, she has guided numerous Fortune 500 and private companiesgloballyin the realm of strategic value creation and deal execution.",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,1,New Microsoft Report Celebrates Diversity and Inclusion Progress,https://www.neuroleadership.com/articles/new-microsoft-report-celebrates-diversity-and-inclusion-progress,"TheMicrosoftDiversityand InclusionReport,” published onMicrosoft’s blog by ChiefDiversityOfficer Lindsay-Rae McIntyre, details the ...",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,2,Why Microsoft Skipped Its 2025 Diversity Report: What It Means,https://italianholidayhomes.net/article/why-microsoft-skipped-its-2025-diversity-report-what-it-means-for-dei,"...report, how can the public track progress on critical issues like pay equality and workforcediversity? And this is the part most people miss: ...",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,3,Microsoft's first in-depth diversity report shows progress,https://www.cnet.com/tech/tech-industry/microsofts-first-in-depth-diversity-report-shows-progress-remains-slow/,"Microsoft&s first full-fledgeddiversityand inclusionreporttells a well-worn story in the world of tech. ...Microsoft, Google, Facebook and Apple ...",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,4,Microsoft will not publish diversity report for 2025,https://techgindia.com/microsoft-will-not-publish-diversity-report-for-2025/16472/,"While there were sections devoted todiversitytargets in the shareholderreportsprepared byMicrosoftin previous years, the fact that no ...",,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,5,Microsoft Staff Are Openly Questioning the Value of Diversity -,https://www.amren.com/news/2019/04/microsoft-staff-are-openly-questioning-the-value-of-diversity/,Two posts on the board criticizingMicrosoftdiversityinitiatives as “discriminatory hiring” and suggesting that women are less suited for ...,,0.0,unknown
normalized_claim_98,"Published Microsoft’s 2023 Global Diversity & Inclusion Report, our fifth report and tenth year of publishing workforce demographic data externally.",contradiction,Microsoft diversity report criticism,6,Diversity measures no longer “business critical” at,https://www.itpro.com/business/business-strategy/diversity-measures-no-longer-business-critical-at-microsoft-internal-emails-suggests,"Microsofthas been hit with fierce internalcriticismafter eliminating adiversity, equity, and inclusion (DEI) team, according to internal ...",,0.0,unknown
