normalized_claim_id,query_type,query_text,result_rank,title,url,snippet,source,source_quality_score,source_quality_label
normalized_claim_7,verification,Microsoft carbon neutrality progress report,1,CarbonNeutrality| Department of Economic and Social Affairs,https://sdgs.un.org/partnerships/carbon-neutrality,"Progressreports.ForMicrosoft,Carbonneutralityrefers to achieving net zerocarbonemissions by offsetting grosscarbonemissions from our operations with an equivalent amount of renewable energy andcarbonsequestered or offset.",,0.5,medium
normalized_claim_7,verification,Microsoft carbon neutrality progress report,2,Google andMicrosoftreportgrowing emissions as they... : NPR,https://www.npr.org/2024/07/12/g-s1-9545/ai-brings-soaring-emissions-for-google-and-microsoft-a-major-contributor-to-climate-change,"But, starting in 2023, Google wrote in its sustainabilityreportthat it was no longer ""maintaining operationalcarbonneutrality."" The company says it's still pushing for its net-zero goal in 2030.",,1.0,high
normalized_claim_7,verification,Microsoft carbon neutrality progress report,3,Microsoft'sCarbonNeutralityBy 2030: Is It Really Possible?,https://lumberexport.com/microsofts-carbon-neutrality-by-2030-is-it-really-possible/,"CanMicrosoftachieveCarbonNeutralityBy 2030? Explore their ambitious sustainability goals,progress, and challenges in this in-depth analysis.",,0.0,unknown
normalized_claim_7,verification,Microsoft carbon neutrality progress report,4,"Climate goal analysis: Amazon, Apple, Google, Meta andMicrosoft",https://trellis.net/article/report-climate-goals-at-amazon-apple-google-meta-and-microsoft-have-lost-their-meaning/,"Report: Climate goals at Amazon, Apple, Google, Meta andMicrosofthave ‘lost their meaning’. Analysis by NewClimate Institute andCarbonMarket Watch asks 'how do we improve the rules of the game?'",,1.0,high
normalized_claim_7,verification,Microsoft carbon neutrality progress report,5,Microsoftcarbonneutralitygoal would cost... :: Environmental Finance,https://www.environmental-finance.com/content/news/microsoft-carbon-neutrality-goal-would-cost-below-dollar-10m.html,Microsoftwould need to pay less than $10 million a year if it were to meet its new goal of becomingcarbonneutralentirely throughcarbonoffsets – a fraction of the IT giant's $5.1 billion in profits for the last quarter.,,0.0,unknown
normalized_claim_7,contradiction,Microsoft emissions trends criticism,1,"Microsoftemissionsup 23% since 2020, company blames AI data...",https://www.datacenterdynamics.com/en/news/microsoft-emissions-up-23-since-2020-blames-ai-data-centers/,"Whileemissionshave increased,Microsofthas continued to contract significant renewable capacity to decarbonize its portfolio. The hyperscaler contracted a total of 19GW of new renewable power in 2024, across 16 countries, through long-term Power Purchase Agreements (PPA).",,1.0,high
normalized_claim_7,contradiction,Microsoft emissions trends criticism,2,Microsoft’semissionsjump almost 30% as it races to meet AI demand,https://www.ft.com/content/61bd45d9-2c0f-479a-8b24-605d5e72f1ab?syn-25a6b1a6=1,"Microsoft’semissionshave risen by almost a third since 2020, as the push to build out the infrastructure behind artificial intelligence threatens its climate goals. The nearly 30 per cent increase inemissionswas in large part due to the construction of the data centres that AI and cloud...",,0.0,unknown
normalized_claim_7,contradiction,Microsoft emissions trends criticism,3,Microsoftlaunches initiative to counter 30% rise in Scope... | Trellis,https://trellis.net/article/microsoft-launches-initiative-counter-30-rise-scope-3-emissions-2020/,"Microsofthas adopted more than 80 measures to counteract a 29.1 percent increase in its greenhouse gasemissionssince 2020, predominantly driven by its new data centers.",,1.0,high
normalized_claim_7,contradiction,Microsoft emissions trends criticism,4,Microsoft's AI Push Jeopardizes Climate Goals asEmissions... - CNET,https://www.cnet.com/tech/mobile/microsofts-ai-push-jeopardizes-climate-goals-as-emissions-surge/,"This meansMicrosoft'semissionsare up 29.1% overall.Microsofthas been racing to build data centers to meet the expanding needs of AI, fueled by growing demand for ChatGPT and similar services.",,0.0,unknown
normalized_claim_7,contradiction,Microsoft emissions trends criticism,5,MicrosoftImposes New Energy Requirement on Suppliers in... - WSJ,https://www.wsj.com/articles/microsoft-imposes-new-climate-requirement-on-suppliers-in-effort-to-lower-its-emissions-32169953,"Microsoftreported a 31% rise inemissionsfrom its supply chain and other indirect sources for 2023 compared with its 2020 baseline, which made up more than 96% of the company’s totalemissions.",,0.0,unknown
